file_id,page_number,includes_handwriting,has_shadowy_background,document_quality,text_density,has_stamps,has_redactions,has_forms,has_tables,is_typewritten,paper_condition,primary_characteristics,document_type,ocr_difficulty,error
124-10179-10217_multirif,1,,,,,,,,,,,,,,GROQ_API_KEY not set
124-10179-10217_multirif,2,,,,,,,,,,,,,,GROQ_API_KEY not set
124-10179-10217_multirif,3,,,,,,,,,,,,,,GROQ_API_KEY not set
124-10179-10217_multirif,4,,,,,,,,,,,,,,GROQ_API_KEY not set
124-10179-10217_multirif,5,,,,,,,,,,,,,,GROQ_API_KEY not set
124-10179-10217_multirif,6,,,,,,,,,,,,,,GROQ_API_KEY not set
124-10179-10217_multirif,7,,,,,,,,,,,,,,GROQ_API_KEY not set
124-10179-10217_multirif,8,,,,,,,,,,,,,,GROQ_API_KEY not set
124-10179-10217_multirif,9,,,,,,,,,,,,,,GROQ_API_KEY not set
124-10179-10217_multirif,10,,,,,,,,,,,,,,GROQ_API_KEY not set
124-10179-10217_multirif,11,,,,,,,,,,,,,,GROQ_API_KEY not set
124-10179-10217_multirif,12,,,,,,,,,,,,,,GROQ_API_KEY not set
124-10179-10217_multirif,13,,,,,,,,,,,,,,GROQ_API_KEY not set
124-10179-10217_multirif,14,,,,,,,,,,,,,,GROQ_API_KEY not set
124-10179-10217_multirif,15,,,,,,,,,,,,,,GROQ_API_KEY not set
124-10179-10217_multirif,16,,,,,,,,,,,,,,GROQ_API_KEY not set
124-10179-10217_multirif,17,,,,,,,,,,,,,,GROQ_API_KEY not set
124-10179-10217_multirif,18,,,,,,,,,,,,,,GROQ_API_KEY not set
124-10179-10217_multirif,19,,,,,,,,,,,,,,GROQ_API_KEY not set
124-10179-10217_multirif,20,,,,,,,,,,,,,,GROQ_API_KEY not set
124-10179-10217_multirif,21,,,,,,,,,,,,,,GROQ_API_KEY not set
124-10179-10217_multirif,22,,,,,,,,,,,,,,GROQ_API_KEY not set
124-10179-10217_multirif,23,,,,,,,,,,,,,,GROQ_API_KEY not set
124-10179-10217_multirif,24,,,,,,,,,,,,,,GROQ_API_KEY not set
124-10179-10217_multirif,25,,,,,,,,,,,,,,GROQ_API_KEY not set
124-10179-10217_multirif,26,,,,,,,,,,,,,,GROQ_API_KEY not set
124-10179-10217_multirif,27,,,,,,,,,,,,,,GROQ_API_KEY not set
124-10179-10217_multirif,28,,,,,,,,,,,,,,GROQ_API_KEY not set
124-10179-10217_multirif,29,,,,,,,,,,,,,,GROQ_API_KEY not set
124-10179-10217_multirif,30,,,,,,,,,,,,,,GROQ_API_KEY not set
124-10179-10217_multirif,31,,,,,,,,,,,,,,GROQ_API_KEY not set
124-10179-10217_multirif,32,,,,,,,,,,,,,,GROQ_API_KEY not set
124-10179-10217_multirif,33,,,,,,,,,,,,,,GROQ_API_KEY not set
124-10179-10217_multirif,34,,,,,,,,,,,,,,GROQ_API_KEY not set
