filename,number_of_pages,categorized,all_categorized,file_location,content
104-10003-10041.pdf,1,1,True,/Users/furkandemir/Desktop/Thesis/files/1/104-10003-10041.pdf,
104-10004-10143 (C06932208).pdf,3,3,True,/Users/furkandemir/Desktop/Thesis/files/3/104-10004-10143 (C06932208).pdf,
104-10004-10143.pdf,2,2,True,/Users/furkandemir/Desktop/Thesis/files/2/104-10004-10143.pdf,
104-10004-10156.pdf,3,3,True,/Users/furkandemir/Desktop/Thesis/files/3/104-10004-10156.pdf,
104-10004-10213.pdf,37,37,True,/Users/furkandemir/Desktop/Thesis/files/31-40/104-10004-10213.pdf,
104-10005-10321.pdf,3,3,True,/Users/furkandemir/Desktop/Thesis/files/3/104-10005-10321.pdf,
104-10006-10247.pdf,3,3,True,/Users/furkandemir/Desktop/Thesis/files/3/104-10006-10247.pdf,
104-10007-10345.pdf,6,6,True,/Users/furkandemir/Desktop/Thesis/files/6-10/104-10007-10345.pdf,
104-10009-10021.pdf,2,2,True,/Users/furkandemir/Desktop/Thesis/files/2/104-10009-10021.pdf,
104-10009-10222.pdf,1,1,True,/Users/furkandemir/Desktop/Thesis/files/1/104-10009-10222.pdf,
104-10012-10022.pdf,2,2,True,/Users/furkandemir/Desktop/Thesis/files/2/104-10012-10022.pdf,
104-10012-10024.pdf,1,1,True,/Users/furkandemir/Desktop/Thesis/files/1/104-10012-10024.pdf,
104-10012-10035.pdf,8,8,True,/Users/furkandemir/Desktop/Thesis/files/6-10/104-10012-10035.pdf,
104-10012-10076.pdf,3,3,True,/Users/furkandemir/Desktop/Thesis/files/3/104-10012-10076.pdf,
104-10012-10078.pdf,3,3,True,/Users/furkandemir/Desktop/Thesis/files/3/104-10012-10078.pdf,
104-10012-10079.pdf,1,1,True,/Users/furkandemir/Desktop/Thesis/files/1/104-10012-10079.pdf,
104-10014-10051.pdf,1,1,True,/Users/furkandemir/Desktop/Thesis/files/1/104-10014-10051.pdf,
104-10014-10064.pdf,2,2,True,/Users/furkandemir/Desktop/Thesis/files/2/104-10014-10064.pdf,
104-10014-10065.pdf,2,2,True,/Users/furkandemir/Desktop/Thesis/files/2/104-10014-10065.pdf,
104-10014-10066.pdf,3,3,True,/Users/furkandemir/Desktop/Thesis/files/3/104-10014-10066.pdf,
104-10014-10067.pdf,3,3,True,/Users/furkandemir/Desktop/Thesis/files/3/104-10014-10067.pdf,
104-10016-10021.pdf,2,2,True,/Users/furkandemir/Desktop/Thesis/files/2/104-10016-10021.pdf,
104-10023-10087.pdf,19,19,True,/Users/furkandemir/Desktop/Thesis/files/11-20/104-10023-10087.pdf,
104-10048-10124.pdf,8,8,True,/Users/furkandemir/Desktop/Thesis/files/6-10/104-10048-10124.pdf,
104-10048-10252.pdf,2,2,True,/Users/furkandemir/Desktop/Thesis/files/2/104-10048-10252.pdf,
104-10049-10004.pdf,1,1,True,/Users/furkandemir/Desktop/Thesis/files/1/104-10049-10004.pdf,
104-10049-10362.pdf,2,2,True,/Users/furkandemir/Desktop/Thesis/files/2/104-10049-10362.pdf,
104-10049-10375.pdf,1,1,True,/Users/furkandemir/Desktop/Thesis/files/1/104-10049-10375.pdf,
104-10051-10106.pdf,2,2,True,/Users/furkandemir/Desktop/Thesis/files/2/104-10051-10106.pdf,
