id,pdf_exists,pages,output_txt_path,error
124-10179-10217_multirif,yes,0,/Users/denizguvenol/Desktop/Thesis/ocr_missing_output_google/124-10179-10217_multirif.txt,SKIPPED (already processed)
124-10179-10219_multirif,yes,0,/Users/denizguvenol/Desktop/Thesis/ocr_missing_output_google/124-10179-10219_multirif.txt,SKIPPED (already processed)
124-10179-10220,yes,0,/Users/denizguvenol/Desktop/Thesis/ocr_missing_output_google/124-10179-10220.txt,SKIPPED (already processed)
124-10179-10221_multirif,yes,0,/Users/denizguvenol/Desktop/Thesis/ocr_missing_output_google/124-10179-10221_multirif.txt,SKIPPED (already processed)
124-10180-10217_multirif,yes,0,/Users/denizguvenol/Desktop/Thesis/ocr_missing_output_google/124-10180-10217_multirif.txt,SKIPPED (already processed)
124-10180-10236_multirif,yes,0,/Users/denizguvenol/Desktop/Thesis/ocr_missing_output_google/124-10180-10236_multirif.txt,SKIPPED (already processed)
124-10180-10320_multirif,yes,0,/Users/denizguvenol/Desktop/Thesis/ocr_missing_output_google/124-10180-10320_multirif.txt,SKIPPED (already processed)
124-10180-10323_multirif,yes,0,/Users/denizguvenol/Desktop/Thesis/ocr_missing_output_google/124-10180-10323_multirif.txt,SKIPPED (already processed)
124-10180-10324_multirif,yes,0,/Users/denizguvenol/Desktop/Thesis/ocr_missing_output_google/124-10180-10324_multirif.txt,SKIPPED (already processed)
124-10180-10325_multirif,yes,0,/Users/denizguvenol/Desktop/Thesis/ocr_missing_output_google/124-10180-10325_multirif.txt,SKIPPED (already processed)
124-10182-10231,yes,0,/Users/denizguvenol/Desktop/Thesis/ocr_missing_output_google/124-10182-10231.txt,SKIPPED (already processed)
124-10184-10237,yes,0,/Users/denizguvenol/Desktop/Thesis/ocr_missing_output_google/124-10184-10237.txt,SKIPPED (already processed)
124-10185-10193_multirif,yes,0,/Users/denizguvenol/Desktop/Thesis/ocr_missing_output_google/124-10185-10193_multirif.txt,SKIPPED (already processed)
124-10185-10195_multirif,yes,0,/Users/denizguvenol/Desktop/Thesis/ocr_missing_output_google/124-10185-10195_multirif.txt,SKIPPED (already processed)
124-10186-10041,yes,0,/Users/denizguvenol/Desktop/Thesis/ocr_missing_output_google/124-10186-10041.txt,SKIPPED (already processed)
124-10186-10045_multirif,yes,0,/Users/denizguvenol/Desktop/Thesis/ocr_missing_output_google/124-10186-10045_multirif.txt,SKIPPED (already processed)
124-10186-10048_multirif,yes,0,/Users/denizguvenol/Desktop/Thesis/ocr_missing_output_google/124-10186-10048_multirif.txt,SKIPPED (already processed)
124-10186-10049_multirif,yes,0,/Users/denizguvenol/Desktop/Thesis/ocr_missing_output_google/124-10186-10049_multirif.txt,SKIPPED (already processed)
124-10186-10051_multirif,yes,0,/Users/denizguvenol/Desktop/Thesis/ocr_missing_output_google/124-10186-10051_multirif.txt,SKIPPED (already processed)
124-10186-10054_multirif,yes,0,/Users/denizguvenol/Desktop/Thesis/ocr_missing_output_google/124-10186-10054_multirif.txt,SKIPPED (already processed)
